ketamine
levophed
levothyroxine
methadone
methylphenidate
metoclopramide
metolazone
metoprolol
nicoderm
nicotine
phenergan
phenobarbital
phenylephrine
refresh
refrigerator
robinul
tranexamic
transderm-scop
adenocard
adenosine
brevibloc
brevital
calcitriol
calcium
chloraseptic
chlordiazepoxide
chlorhexidine
cyclobenzaprine
cyclogyl
cyclomydril
hydromorphone
hydroxyzine
methocarbamol
methohexital
nitro-bid
nitroglycerin
nitrostat
oxycontin
pravachol
pravastatin
thera-m
therapeutic
vancocin
vancomycin
buprenex
dextromethorphan-guaifenesin
diphenhydramine
diphenoxylate-atropine
dolophine
dolophoine
hydrochlorothiazide
oxandrin
oxandrolone
risperidone
alfentanil
dextrose
dextrostat
hydrocortisone
sufentanil
fentanyl-bupiv
trandate-normodyne
oxycodone-apap
proventil-proair
risperdal-m
budesonide-formoterol
lidocaine-epinephrine
lidocaine-prilocaine
robitussin-dm
guaifenesin-codeine
ipratropium-albuterol
hydrocodone-apap
hydrocodone-homatropine
acetaminophen-codeine
buprenorphine-naloxone
cyclopentolate-phenylephrine
dextroamphetamine-amphetamine
